month-year;A;B;C;D;E;ABC
7-2006;2353800;492000;643700;180700;170300;3489500
8-2006;2324400;493400;642600;179800;178900;3460400
9-2006;2318900;494600;622300;183500;184600;3435800
10-2006;2288900;497200;623700;181900;189400;3409800
11-2006;2266800;491100;625700;178400;193800;3383600
0-2007;2234100;486700;620500;179100;200700;3341300
1-2007;2203000;482800;628400;180000;208000;3314200
2-2007;2173600;476700;633600;176400;216600;3283900
3-2007;2152800;471000;632800;175900;219700;3256600
4-2007;2140300;457700;636900;177200;222500;3234900
5-2007;2121500;462700;624800;174600;226300;3209000
6-2007;2117000;464200;610000;174900;227900;3191200
7-2007;2098800;473100;609000;177800;229900;3180900
8-2007;2097000;453300;620300;175300;229600;3170600
9-2007;2064800;449900;621300;176700;230000;3136000
10-2007;2036000;455100;620500;176500;229700;3111600
11-2007;2017100;453600;623400;174600;228000;3094100
0-2008;2004900;456800;625800;171700;227600;3087500
1-2008;1976900;458100;635400;172900;228700;3070400
2-2008;1987900;454200;623400;173500;228500;3065500
3-2008;1995300;450100;610900;170800;227800;3056300
4-2008;1997900;454400;603100;171200;228200;3055400
5-2008;2016500;457900;593300;171600;222000;3067700
6-2008;2030800;459600;584500;178700;222900;3074900
7-2008;2045900;462600;578500;172900;222400;3087000
8-2008;2076900;455100;576100;174600;220500;3108100
9-2008;2106700;467400;575700;176000;221200;3149800
10-2008;2164800;465200;566500;178900;223500;3196500
11-2008;2218600;463500;563700;183800;225300;3245800
0-2009;2283500;470500;560200;186500;227900;3314200
1-2009;2357900;472500;561800;191400;227300;3392200
2-2009;2424700;481500;559400;197400;229700;3465600
3-2009;2480300;497100;569500;204300;232900;3546900
4-2009;2519400;505000;584100;212400;236300;3608500
5-2009;2519700;492000;611900;214900;237300;3623600
6-2009;2544200;494100;628600;232100;243100;3666900
7-2009;2579800;491500;647300;231500;249700;3718600
8-2009;2604200;504600;647300;226500;261600;3756100
9-2009;2640400;505300;656100;228200;271000;3801800
10-2009;2648000;512800;669100;232200;279900;3829900
11-2009;2636700;513700;689800;236400;294700;3840200
0-2010;2663100;515600;690700;243900;291600;3869400
1-2010;2667400;514600;700900;249000;300600;3882900
2-2010;2667200;517300;712600;257400;313100;3897100
3-2010;2680400;518400;724300;262700;325000;3923100
4-2010;2691400;521600;728200;259100;336600;3941200
5-2010;2685900;525600;735500;258600;345600;3947000
6-2010;2681400;525900;753200;259400;354800;3960500
7-2010;2696400;526200;751800;262100;359900;3974400
8-2010;2696600;532200;762800;253900;365500;3991600
9-2010;2679100;532300;776300;248300;363300;3987700
10-2010;2689800;529900;786600;246700;356400;4006300
11-2010;2699900;538100;786300;243900;350100;4024300
0-2011;2695900;540800;805600;244200;350900;4042300
1-2011;2706700;536300;807000;241500;350900;4050000
2-2011;2690700;542400;817200;236700;350200;4050300
3-2011;2696200;546700;819700;235400;349700;4062600
4-2011;2702000;550200;831500;233000;349600;4083700
5-2011;2730300;549200;832800;236100;351100;4112300
6-2011;2756600;544700;827400;231700;349100;4128700
7-2011;2760800;561000;820500;236200;349800;4142300
8-2011;2774600;555200;838800;234800;349300;4168600
9-2011;2798000;554800;833500;233400;350900;4186300
10-2011;2817900;553800;849500;231200;355200;4221200
11-2011;2847700;562900;836500;235700;361600;4247100
0-2012;2867200;560400;836800;236900;367300;4264400
1-2012;2875900;573300;839800;238300;367900;4289000
2-2012;2885200;568400;860900;240300;369300;4314500
3-2012;2893600;576900;857300;238600;367900;4327800
4-2012;2922600;574900;858900;245800;365500;4356400
5-2012;2944100;589900;863500;243600;364500;4397500
6-2012;2980300;592300;864100;240500;363500;4436700
7-2012;3015500;598500;873100;247600;361400;4487100
8-2012;3056500;598600;866700;250200;359500;4521800
9-2012;3093600;603300;869800;256800;357300;4566700
10-2012;3115500;619200;872000;260600;356100;4606700
11-2012;3131300;616600;881100;263100;354800;4629000
0-2013;3182200;624800;876700;257300;351800;4683700
1-2013;3194000;630700;893400;259000;350200;4718100
2-2013;3218200;638600;886700;258100;350400;4743500
3-2013;3254000;632300;902900;261900;350400;4789200
4-2013;3254000;634600;900400;269900;352300;4789000
5-2013;3268900;629400;898100;263900;351200;4796400
6-2013;3273200;643000;914100;261700;353500;4830300
7-2013;3245200;630300;918200;261700;354900;4793700
8-2013;3303200;634500;914000;271800;359500;4851700
9-2013;3274700;658100;943000;275200;367200;4875800
10-2013;3297700;644800;944400;276600;376300;4886900
11-2013;3306300;647000;949600;278300;381700;4902900
0-2014;3325300;651900;953300;279100;386600;4930500
1-2014;3343200;649800;952200;279000;391000;4945200
2-2014;3353900;655900;954200;276400;393900;4964000
3-2014;3366100;656900;967500;276000;395900;4990500
4-2014;3385500;661600;972000;280000;395800;5019100
5-2014;3396100;660700;983200;277400;396800;5040000
6-2014;3416600;660500;990500;275100;394400;5067600
7-2014;3416600;664200;999300;272400;393300;5080100
8-2014;3447600;668000;1010100;280800;392000;5125700
9-2014;3452800;674800;1025000;278800;389100;5152600
10-2014;3486400;672400;1021100;276100;384000;5179900
11-2014;3487300;678700;1044900;278700;381000;5210900
0-2015;3489600;681800;1067500;279900;380400;5238900
1-2015;3496700;688800;1081300;277300;380000;5266800
2-2015;3520500;687700;1090900;280300;379500;5299100
3-2015;3535400;696600;1114900;274900;380100;5346900
4-2015;3558700;700700;1155400;276400;380900;5414800
5-2015;3549000;703800;1141100;278900;395700;5393900
6-2015;3550200;704600;1150500;277100;402700;5405300
7-2015;3564000;706400;1144000;291000;404000;5414400
8-2015;3556000;711300;1155100;280400;407000;5422400
9-2015;3579500;708800;1150700;280100;411200;5439000
10-2015;3576700;715100;1150900;277700;418200;5442700
11-2015;3572500;716100;1176200;274200;424200;5464800
0-2016;3557200;712700;1188600;274000;423400;5458500
1-2016;3578300;711800;1171400;274900;424400;5461500
2-2016;3540000;720500;1194600;273600;425900;5455100
3-2016;3518200;719300;1175600;277700;424100;5413100
4-2016;3521700;720300;1193200;292100;429600;5435200
5-2016;3519700;720900;1199900;301000;430400;5440500
6-2016;3514600;727100;1211800;304300;431300;5453500
7-2016;3549900;725800;1232800;330700;430300;5508500
8-2016;3494000;732700;1247600;327300;431800;5474300
9-2016;3477000;725600;1259200;328600;428400;5461800
10-2016;3457900;725100;1284200;338300;423200;5467200
11-2016;3467100;718100;1278600;339600;422100;5463800
0-2017;3467900;716100;1302400;335000;420600;5486400
1-2017;3464400;729000;1321800;323500;419800;5515200
2-2017;3508100;709000;1286700;309800;419900;5503800
3-2017;3471800;728100;1335100;301900;419000;5535000
4-2017;3494100;721900;1344800;299000;417500;5560800
5-2017;3483200;726400;1353000;295500;423100;5562600
6-2017;3518100;748300;1355000;283800;422700;5621400
